,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Vanimo,PG,-2.6741,141.3028,85.62,68,100,10.49,overcast clouds
326,Bambous Virieux,MU,-20.3428,57.7575,66.22,70,17,8.7,few clouds
327,Saint-Francois,FR,46.4154,3.9054,60.24,88,0,0.0,clear sky
328,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.1,65,6,0.78,clear sky
329,Georgetown,MY,5.4112,100.3354,76.95,90,40,5.75,scattered clouds
330,Quatre Cocos,MU,-20.2078,57.7625,66.09,73,25,9.26,scattered clouds
331,Hirschaid,DE,49.8194,10.9908,65.41,65,29,2.98,scattered clouds
332,Narsaq,GL,60.9167,-46.05,46.62,79,22,1.83,few clouds
333,Bitung,ID,1.4451,125.1824,83.25,70,23,10.4,few clouds
334,Lasa,IT,46.6166,10.7002,60.37,88,12,1.88,few clouds
335,Laguna,US,38.421,-121.4238,101.32,35,0,14.97,clear sky
336,Cayenne,GF,4.9333,-52.3333,80.1,1,40,0.0,scattered clouds
337,Bayreuth,DE,49.9481,11.5783,65.39,80,17,1.01,few clouds
338,Sinnamary,GF,5.3833,-52.95,78.17,88,100,8.99,heavy intensity rain
339,Bandarbeyla,SO,9.4942,50.8122,77.04,68,2,26.82,clear sky
340,Lorengau,PG,-2.0226,147.2712,83.77,76,100,14.67,overcast clouds
341,Oktyabrskiy,RU,54.4815,53.471,59.45,93,8,4.61,clear sky
342,Cairns,AU,-16.9167,145.7667,85.06,65,40,14.97,scattered clouds
343,Wadena,US,46.4425,-95.1361,80.64,83,40,6.91,thunderstorm
344,Nanortalik,GL,60.1432,-45.2371,45.14,80,16,7.94,few clouds
345,Yar-Sale,RU,66.8333,70.8333,61.68,60,93,9.13,overcast clouds
346,Wattegama,LK,6.7989,81.4808,75.99,81,100,12.06,overcast clouds
