City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Bilibino,RU,55.56,light rain,68.0546,166.4372,Gostinitsa Severyanka
395,Geraldton,AU,61.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
396,Rovaniemi,FI,54.81,overcast clouds,66.5,25.7167,Arctic City Hotel
397,Jardim,BR,72.18,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
400,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
401,Abalak,RU,58.59,scattered clouds,58.1286,68.5944,Туристический комплекс Абалак
403,Fare,PF,78.35,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
404,Inirida,CO,71.02,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
405,Sisimiut,GL,42.96,broken clouds,66.9395,-53.6735,Hotel Sisimiut
406,Bonthe,SL,74.82,broken clouds,7.5264,-12.505,Bonthe Holiday Village
407,Umarga,IN,77.13,overcast clouds,17.8333,76.6167,Keshar amruttuly
408,Mirnyy,RU,73.92,overcast clouds,62.5353,113.9611,квартира
409,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
410,Syracuse,IT,77.32,clear sky,37.0881,15.2792,Hotel Posta
411,Broome,US,68.38,clear sky,42.2506,-75.833,Chenango Valley State Park
415,Winnipeg,CA,78.04,clear sky,49.8844,-97.147,"Humphry Inn & Suites, Downtown Winnipeg"
416,Zhob,PK,75.81,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
418,Ereymentau,KZ,63.66,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
419,Santiago De Chuco,PE,51.39,scattered clouds,-8.15,-78.1833,Hotel El Mirador Santiago de Chuco
420,Les Escoumins,CA,55.85,few clouds,48.1111,-69.0236,
421,Tautira,PF,77.27,few clouds,-17.7333,-149.15,Pension Oaoa
423,Olinda,BR,73.13,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
